date,latitude,longitude,altitude_m,ndvi,albedo,cloud_cover_pct,humidity_pct,insolation_wm2,day_of_year,month,year,lst_celsius
2018-01-01,-15.0552,-85.786,831.5,0.4833,0.2048,41.02,63.75,231.25,1,1,2018,15.895
2018-01-02,54.0857,-91.0876,425.3,0.356,0.2268,37.87,78.8,261.74,2,1,2018,3.198
2018-01-03,27.8393,146.2516,57.4,0.5312,0.2568,42.99,83.01,253.62,3,1,2018,14.269
2018-01-04,11.839,-90.1634,482.4,0.311,0.237,18.47,49.26,293.41,4,1,2018,23.529
2018-01-05,-41.2778,-82.0981,116.4,0.4917,0.2677,30.26,48.66,269.53,5,1,2018,4.634
2018-01-06,-41.2807,93.3834,22.2,0.5077,0.1714,75.99,93.42,210.83,6,1,2018,13.826
2018-01-07,-53.03,-18.0937,161.7,0.5756,0.202,47.87,91.78,210.63,7,1,2018,5.683
2018-01-08,43.9411,99.6158,400.7,0.6105,0.2294,58.76,68.08,206.96,8,1,2018,6.503
2018-01-09,12.1338,-156.4682,144.0,0.4937,0.3223,13.2,55.01,327.82,9,1,2018,25.479
2018-01-10,24.9687,-4.4744,363.2,0.5269,0.221,23.46,74.72,260.3,10,1,2018,18.04
2018-01-11,-57.5299,-167.8991,261.4,0.4335,0.2891,39.9,63.67,226.31,11,1,2018,5.776
2018-01-12,56.3892,-157.4448,133.6,0.404,0.2349,37.46,64.95,304.65,12,1,2018,2.218
2018-01-13,39.8931,146.3175,78.3,0.5742,0.2003,34.61,79.26,249.03,13,1,2018,13.845
2018-01-14,-34.5193,-129.8717,543.3,0.4266,0.2082,25.32,63.73,311.51,14,1,2018,20.299
2018-01-15,-38.181,11.6714,226.9,0.5137,0.2115,53.51,55.01,232.01,15,1,2018,11.995
2018-01-16,-37.9915,-32.0056,610.4,0.4608,0.2481,12.13,56.81,317.16,16,1,2018,15.661
2018-01-17,-23.4909,-54.9564,100.9,0.6332,0.2791,40.2,77.76,291.4,17,1,2018,27.899
2018-01-18,2.9708,143.94,1.0,0.7714,0.2223,46.11,80.52,301.14,18,1,2018,34.779
2018-01-19,-8.1666,-172.1436,286.7,0.4651,0.2617,56.13,67.62,259.87,19,1,2018,27.724
2018-01-20,-25.0525,58.9643,99.4,0.4065,0.1559,49.14,75.97,306.94,20,1,2018,23.338
2018-01-21,13.4223,166.822,690.1,0.5908,0.1777,29.16,57.85,293.21,21,1,2018,25.945
2018-01-22,-43.2607,21.6605,506.3,0.5852,0.1734,40.51,65.9,268.72,22,1,2018,16.494
2018-01-23,-24.9426,157.2561,691.4,0.6282,0.2133,46.31,28.44,279.66,23,1,2018,22.339
